tweet_id,handle,retweet_count,text,mined_at,created_at
950961735803928576,OnePlus India,59,"RT @C4ETech: The OnePlus Story - Likes, Dislikes, And More!: https://t.co/d4eYY3ssWE via @YouTube",2018-02-16 22:23:18.270950,Wed Jan 10 05:25:20 +0000 2018
950624096626208768,OnePlus India,120,Powerful radiance is right around the corner. 2 days to go! https://t.co/URaXYqIEXX,2018-02-16 22:23:18.270952,Tue Jan 09 07:03:41 +0000 2018
950592258247598080,OnePlus India,390,"RT @Mrwhosetheboss: How Oneplus succeeded when they should have failed...
Retweets Appreciated! 🔁
https://t.co/Wt8Md3tHCY https://t.co/HsNu…",2018-02-16 22:23:18.270953,Tue Jan 09 04:57:10 +0000 2018
950284940159074309,OnePlus India,160,"You said it, we heard it. The curtain lifts in 3 days! https://t.co/kILkjbFd4L",2018-02-16 22:23:18.270954,Mon Jan 08 08:35:59 +0000 2018
949896555317768193,OnePlus India,88,Raising a toast to Bombay. Beautifully conceptualized and #ShotonOnePlus by Zaid Salman (https://t.co/APd35pPlqD)… https://t.co/fhCQmhYxsP,2018-02-16 22:23:18.270955,Sun Jan 07 06:52:41 +0000 2018
949524000773828608,OnePlus India,78,"Join the Referral Program and make a new friend! And if they use your link, they get ₹1000 off accessories and you… https://t.co/aVof1PvSmR",2018-02-16 22:23:18.270957,Sat Jan 06 06:12:17 +0000 2018
949197606915252224,OnePlus India,66,Keep your beautiful #OnePlus5T screen scratch-free with our Tempered 3D Glass Protector. Here's how to install it p… https://t.co/xw8wuzGat6,2018-02-16 22:23:18.270958,Fri Jan 05 08:35:19 +0000 2018
948983783742582784,OnePlus India,36,Get your year off to the right rhythm with 4K EIS. Discover it here - https://t.co/fuc5gEcmy7 https://t.co/U9tDnkjHmx,2018-02-16 22:23:18.270959,Thu Jan 04 18:25:39 +0000 2018
948477945487568896,OnePlus India,137,We had an amazing response for the OnePlus 5T Star Wars Limited Edition. Not just the phone but also for the contes… https://t.co/pDyLSiy0LI,2018-02-16 22:23:18.270960,Wed Jan 03 08:55:38 +0000 2018
948186391472521217,OnePlus India,86,Turn your #OnePlus5T into the ultimate music player with these gestures! What songs are on your 2018 playlist 🎵 https://t.co/mgAxhjkrcS,2018-02-16 22:23:18.270961,Tue Jan 02 13:37:06 +0000 2018
947707270627856384,OnePlus India,126,Happy New Year 🎉 What are you doing to Never Settle in 2018? https://t.co/9QtON3MPnl,2018-02-16 22:23:18.270963,Mon Jan 01 05:53:15 +0000 2018
947394777808433152,OnePlus India,197,"The OnePlus Experience Store, Bengaluru will be closed  today from 5pm onwards on account of New Year's Eve. 

On b… https://t.co/PBEzviLzmv",2018-02-16 22:23:18.270964,Sun Dec 31 09:11:31 +0000 2017
